AE_text,true_LLT_term,pred_LLT_term,true_PT_term,pred_PT_term,LLT_correct,PT_correct,exact_LLT_match,LLT_fuzzy_score,LLT_fuzzy_match,exact_PT_match,PT_fuzzy_score,PT_fuzzy_match,true_LLT_Code,true_PT_Code,pred_LLT_Code,pred_PT_Code
Colitis,Colitis,Colitis NOS,Kolitis,Kolitis,False,True,False,77.77777777777779,False,True,100.0,True,10009887,10009887,10009898,10009887
cough,Cough,Cough,Husten,Husten,True,True,True,100.0,True,True,100.0,True,10011224,10011224,10011224,10011224
creatinine increased,Creatinine increased,Creatinine increased,Kreatinin im Blut erhoeht,Kreatinin im Blut erhoeht,True,True,True,100.0,True,True,100.0,True,10011368,10005483,10011368,10005483
CRP increase,CRP increased,CRP increased,C-reaktives Protein erhoeht,C-reaktives Protein erhoeht,True,True,True,100.0,True,True,100.0,True,10011418,10006825,10011418,10006825
CTNI increased,Cardiac troponin I increased,Cardiac troponin I increased,Troponin I erhoeht,Troponin I erhoeht,True,True,True,100.0,True,True,100.0,True,10007612,10058268,10007612,10058268
Darmperforation,Bowel perforation,Bowel perforation,Darmperforation,Darmperforation,True,True,True,100.0,True,True,100.0,True,10006056,10022694,10006056,10022694
Deep vein thrombosis,Deep vein thrombosis,Deep vein thrombosis,Tiefe Venenthrombose,Tiefe Venenthrombose,True,True,True,100.0,True,True,100.0,True,10051055,10051055,10051055,10051055
Delir,Delirium,Delirium,Delirium,Delirium,True,True,True,100.0,True,True,100.0,True,10012218,10012218,10012218,10012218
Detection of staphylococcus epidermis in blood,Staphylococcus epidermidis infection,Staphylococcus epidermidis septicaemia,Staphylokokkeninfektion,Sepsis durch Staphylokokken,False,False,False,81.08108108108108,False,False,56.00000000000001,False,10054154,10058080,10041949,10056430
Diarrhea,Diarrhea,Diarrhea,Diarrhoe,Diarrhoe,True,True,True,100.0,True,True,100.0,True,10012727,10012735,10012727,10012735
diffuse alveolar hemorrhage,Pulmonary alveolar haemorrhage,Pulmonary alveolar hemorrhage,Pulmonale alveolaere Blutung,Pulmonale alveolaere Blutung,False,True,False,98.30508474576271,True,True,100.0,True,10037313,10037313,10037314,10037313
Dizziness/Vertigo,Dizziness,Dizziness,Schwindelgefuehl,Schwindelgefuehl,True,True,True,100.0,True,True,100.0,True,10013573,10013573,10013573,10013573
Duodenitis,Duodenitis,Duodenitis,Duodenitis,Duodenitis,True,True,True,100.0,True,True,100.0,True,10013864,10013864,10013864,10013864
dysphagie,Dysphagia,Dysphagia,Dysphagie,Dysphagie,True,True,True,100.0,True,True,100.0,True,10013950,10013950,10013950,10013950
Dyspnea,Dyspnea,Dyspnea,Dyspnoe,Dyspnoe,True,True,True,100.0,True,True,100.0,True,10013963,10013968,10013963,10013968
dyspnea,Dyspnea,Dyspnea,Dyspnoe,Dyspnoe,True,True,True,100.0,True,True,100.0,True,10013963,10013968,10013963,10013968
Dyspnea,Dyspnea,Dyspnea,Dyspnoe,Dyspnoe,True,True,True,100.0,True,True,100.0,True,10013963,10013968,10013963,10013968
Electrocardiogram QT corrected interval prolonged,Electrocardiogram QT corrected interval prolonged,Electrocardiogram QTc interval prolonged,Elektrokardiogramm QT verlaengert,Elektrokardiogramm QT verlaengert,False,True,False,89.8876404494382,False,True,100.0,True,10014383,10014387,10053698,10014387
elevated cardiac enzymes,Heart enzymes elevated,Cardiac enzymes increased,Myokardnekrose-Marker erhoeht,Myokardnekrose-Marker erhoeht,False,True,False,63.829787234042556,False,True,100.0,True,10058166,10075211,10007548,10075211
elevated Troponin I,Troponin I increased,Troponin I increased,Troponin I erhoeht,Troponin I erhoeht,True,True,True,100.0,True,True,100.0,True,10058268,10058268,10058268,10058268
elevation of serum bilirubine,Serum bilirubin increased,Bilirubin elevated,Bilirubin im Blut erhoeht,Bilirubin im Blut erhoeht,False,True,False,65.11627906976744,False,True,100.0,True,10040159,10005364,10004688,10005364
Enterococcus faecium infection,Enterococcus faecium infection,Enterococcus faecium infection,Enterokokken-Infektion,Enterokokken-Infektion,True,True,True,100.0,True,True,100.0,True,10054241,10061124,10054241,10061124
Enterocolitis,Enterocolitis,Enterocolitis,Enterokolitis,Enterokolitis,True,True,True,100.0,True,True,100.0,True,10014893,10014893,10014893,10014893
epigastric pain,Epigastric pain,Epigastric pain,Schmerzen Oberbauch,Schmerzen Oberbauch,True,True,True,100.0,True,True,100.0,True,10015026,10000087,10015026,10000087
Epistaxis,Epistaxis,Epistaxis,Epistaxis,Epistaxis,True,True,True,100.0,True,True,100.0,True,10015090,10015090,10015090,10015090
Exanthema general,Exanthem,Exanthema generalised,,,False,True,False,55.172413793103445,False,False,0.0,False,10015585,10037844,10058693,10037844
extramedullary manifestation,Leukaemic infiltration extramedullary,Leukaemic infiltration extramedullary,Extramedullaere leukaemische Infiltration,Extramedullaere leukaemische Infiltration,True,True,True,100.0,True,True,100.0,True,10067117,10067117,10067117,10067117
Fatigue,Fatigue,Fatigue,Ermuedung,Ermuedung,True,True,True,100.0,True,True,100.0,True,10016256,10016256,10016256,10016256
fatigue,Fatigue,Fatigue,Ermuedung,Ermuedung,True,True,True,100.0,True,True,100.0,True,10016256,10016256,10016256,10016256
febbrille neutropenia,Febrile neutropenia,Febrile neutropenia,Febrile Neutropenie,Febrile Neutropenie,True,True,True,100.0,True,True,100.0,True,10016288,10016288,10016288,10016288
febril neutropenia,Febrile neutropenia,Febrile neutropenia,Febrile Neutropenie,Febrile Neutropenie,True,True,True,100.0,True,True,100.0,True,10016288,10016288,10016288,10016288
febrile neutropenia,Febrile neutropenia,Febrile neutropenia,Febrile Neutropenie,Febrile Neutropenie,True,True,True,100.0,True,True,100.0,True,10016288,10016288,10016288,10016288
Febrile Neutropenia,Febrile neutropenia,Febrile neutropenia,Febrile Neutropenie,Febrile Neutropenie,True,True,True,100.0,True,True,100.0,True,10016288,10016288,10016288,10016288
febrile neutropenia,Febrile neutropenia,Febrile neutropenia,Febrile Neutropenie,Febrile Neutropenie,True,True,True,100.0,True,True,100.0,True,10016288,10016288,10016288,10016288
febrile neutropenia (temp. max. 38.5 Â°C),Febrile neutropenia,Febrile neutropenia,Febrile Neutropenie,Febrile Neutropenie,True,True,True,100.0,True,True,100.0,True,10016288,10016288,10016288,10016288
febrille netropenia,Febrile neutropenia,Febrile neutropenia,Febrile Neutropenie,Febrile Neutropenie,True,True,True,100.0,True,True,100.0,True,10016288,10016288,10016288,10016288
Febrille neutropenia,Febrile neutropenia,Febrile neutropenia,Febrile Neutropenie,Febrile Neutropenie,True,True,True,100.0,True,True,100.0,True,10016288,10016288,10016288,10016288
febrille neutropenia,Febrile neutropenia,Febrile neutropenia,Febrile Neutropenie,Febrile Neutropenie,True,True,True,100.0,True,True,100.0,True,10016288,10016288,10016288,10016288
febriolle neutropnia,Febrile neutropenia,Febrile neutropenia,Febrile Neutropenie,Febrile Neutropenie,True,True,True,100.0,True,True,100.0,True,10016288,10016288,10016288,10016288
Fever,Fever,Fever,Fieber,Fieber,True,True,True,100.0,True,True,100.0,True,10016558,10037660,10016558,10037660
Fever,Fever,Fever,Fieber,Fieber,True,True,True,100.0,True,True,100.0,True,10016558,10037660,10016558,10037660
Fever,Fever,Fever,Fieber,Fieber,True,True,True,100.0,True,True,100.0,True,10016558,10037660,10016558,10037660
fever in neutropenia,Febrile neutropenia,Febrile neutropenia,Febrile Neutropenie,Febrile Neutropenie,True,True,True,100.0,True,True,100.0,True,10016288,10016288,10016288,10016288
Fever in neutropenia,Febrile neutropenia,Febrile neutropenia,Febrile Neutropenie,Febrile Neutropenie,True,True,True,100.0,True,True,100.0,True,10016288,10016288,10016288,10016288
fever unknown of origin,Fever of unknown origin,Fever of unknown origin,Fieber,Fieber,True,True,True,100.0,True,True,100.0,True,10016563,10037660,10016563,10037660
Fibula fracture right,Fibula fracture,Fibula fracture,Fibulafraktur,Fibulafraktur,True,True,True,100.0,True,True,100.0,True,10016667,10016667,10016667,10016667
Fissur Analbereich,Anal fissure,Anal fissure,Analfissur,Analfissur,True,True,True,100.0,True,True,100.0,True,10002153,10002153,10002153,10002153
Folliculitis axillary fold left,Folliculitis,Folliculitis,Follikulitis,Follikulitis,True,True,True,100.0,True,True,100.0,True,10016936,10016936,10016936,10016936
fungal infection lung,Lung infection fungal,Lung infection fungal,Pneumonie durch Pilze,Pneumonie durch Pilze,True,True,True,100.0,True,True,100.0,True,10085440,10061354,10085440,10061354
fungal infection of lung,Lung infection fungal,Lung infection fungal,Pneumonie durch Pilze,Pneumonie durch Pilze,True,True,True,100.0,True,True,100.0,True,10085440,10061354,10085440,10061354
Gamma-glutamyltransferase disorder,Gamma GT abnormal,Gamma-glutamyltransferase abnormal,Gamma-Glutamyltransferase anomal,Gamma-Glutamyltransferase anomal,False,True,False,62.745098039215684,False,True,100.0,True,10057757,10017688,10017688,10017688
Gamma-GT increased,Gamma-GT increased,Gamma-GT increased,Gamma-Glutamyltransferase erhoeht,Gamma-Glutamyltransferase erhoeht,True,True,True,100.0,True,True,100.0,True,10017696,10017693,10017696,10017693
Ganzkoerperexanthem,Exanthem,Exanthem,,,True,True,True,100.0,True,False,0.0,False,10015585,10037844,10015585,10037844
general worsening of condition,General physical health deterioration,General physical health deterioration,Generelle Verschlechterung des physischen Gesundheitszustandes,Generelle Verschlechterung des physischen Gesundheitszustandes,True,True,True,100.0,True,True,100.0,True,10049438,10049438,10049438,10049438
ges. Bili,Bilirubin increased,"The Adverse Event (AE) ""ges. Bili"" appears to be an abbreviated form, with ""ges"" likely standing for ""gestosis"" and ""Bili"" referring to bilirubin. Given this interpretation, the term seems to relate to a condition associated with pregnancy (gestosis) and possibly involving bilirubin levels. However, gestosis is more directly related to pregnancy-induced hypertension or preeclampsia, and the mention of ""Bili"" suggests a focus on bilirubin. Among the provided options, ""Gestosis"" directly matches the ""ges"" part of the AE, but considering the context of bilirubin, it seems there might be a bit of confusion in the abbreviation. Since ""Bilirubin increased"" directly relates to an issue that could be abbreviated as ""Bili"" and considering the potential for gestosis to be related to various complications in pregnancy, including those affecting liver function or bilirubin levels, the most relevant term that directly addresses a potential issue (increased bilirubin) is ""Bilirubin increased"". However, strictly based on the provided abbreviation, ""Gestosis"" is the only term that directly matches part of the AE (""ges""), but",Bilirubin im Blut erhoeht,,False,False,False,3.3187772925764247,False,False,0.0,False,10004690,10005364,,
GGT increased,GGT increased,GGT increased,Gamma-Glutamyltransferase erhoeht,Gamma-Glutamyltransferase erhoeht,True,True,True,100.0,True,True,100.0,True,10056910,10017693,10056910,10017693
HB decreased,Hb decreased,Hemoglobin decreased,Haemoglobin erniedrigt,Haemoglobin erniedrigt,False,True,False,75.0,False,True,100.0,True,10019171,10018884,10019483,10018884
Headache,Headache,Headache,Kopfschmerzen,Kopfschmerzen,True,True,True,100.0,True,True,100.0,True,10019211,10019211,10019211,10019211
Heart failure,Heart failure,Heart failure,Herzinsuffizienz,Herzinsuffizienz,True,True,True,100.0,True,True,100.0,True,10019279,10007554,10019279,10007554
Hematoma right thigh,Haematoma,Subcutaneous hematoma,Haematom,Subkutanes Haematom,False,False,False,53.333333333333336,False,False,59.25925925925925,False,10018852,10018852,10042346,10042345
hematothorax after pleural puncture,Hemopneumothorax,Hemorrhage pleural,Traumatischer Haemothorax,Haemothorax,False,False,False,52.94117647058824,False,False,61.111111111111114,False,10060632,10074487,10019578,10019027
Hemophagocytic lymphocytosis,Hemophagocytic lymphohistiocytosis,Haemophagocytic lymphohistiocytosis,Haemophagozytische Lymphohistiozytose,Haemophagozytische Lymphohistiozytose,False,True,False,98.55072463768117,True,True,100.0,True,10071580,10071583,10071583,10071583
Hemorrhage after teeth extraction,Post-operative haemorrhage,Tooth socket hemorrhage,Blutung nach einem Eingriff,Zahnhoehlenblutung,False,False,False,65.3061224489796,False,False,31.11111111111111,False,10036282,10051077,10064960,10064946
Hemorrhage cheek mucosa,Oral mucosa bleeding,Mucosal haemorrhage,Blutung Mund,Schleimhautblutung,False,False,False,46.15384615384615,False,False,46.666666666666664,False,10030985,10028024,10061298,10061298
Hemorrhage colitis acuta,Hemorrhagic colitis,Acute hemorrhagic ulcerative colitis,Haemorrhagische Enterokolitis,Akute haemorrhagische ulzerative Kolitis,False,False,False,69.0909090909091,False,False,75.36231884057972,False,10019597,10014896,10075635,10075634
Hemorrhage gum bleeding,Haemorrhage gum,Gum hemorrhage,Zahnfleischbluten,Zahnfleischbluten,False,True,False,68.96551724137932,False,True,100.0,True,10055811,10018276,10018779,10018276
Hemorrhage Head,Cerebral hemorrhage,Intracranial hemorrhage,Hirnblutung,Intrakranielle Blutung,False,False,False,71.42857142857143,False,False,60.60606060606061,False,10008114,10008111,10022763,10018985
Hemorrhage mucosa,Mucosa haemorrhage NOS,Mucosal hemorrhage,Schleimhautblutung,Schleimhautblutung,False,True,False,85.0,False,True,100.0,True,10028102,10061298,10059426,10061298
Hemorrhage nose,Epistaxis,Epistaxis,Epistaxis,Epistaxis,True,True,True,100.0,True,True,100.0,True,10015090,10015090,10015090,10015090
Hemorrhage Petechien,Petechiae,Petechiae,Petechien,Petechien,True,True,True,100.0,True,True,100.0,True,10034754,10034754,10034754,10034754
Hemorrhage subconjuctival,Subconjunctival haemorrhage,Subconjunctival hemorrhage,Bindehautblutung,Bindehautblutung,False,True,False,98.11320754716981,True,True,100.0,True,10042341,10010719,10055345,10010719
Hemorrhage Zoekalpol,Caecal haemorrhage,Hemorrhage,Dickdarmblutung,Blutung,False,False,False,71.42857142857143,False,False,63.63636363636363,False,10065758,10052534,10019524,10055798
Hemorrhoidal bleeding in thrombopenia,Hemorrhoidal bleeding,Hemorrhoidal bleeding,Haemorrhoidalblutung,Haemorrhoidalblutung,True,True,True,100.0,True,True,100.0,True,10019609,10054787,10019609,10054787
Herpes root of tongue,Herpetic stomatitis,Herpes lesion intra-oral,Oraler Herpes,Oraler Herpes,False,True,False,46.51162790697675,False,True,100.0,True,10020002,10067152,10019943,10067152
high NT-proBNP an Troponin T,NT-proBNP increased,NT-proBNP increased,,,True,True,True,100.0,True,False,0.0,False,10071712,10071662,10071712,10071662
HSV associate stomatitis,Viral stomatitis,Viral stomatitis,Virale Oralinfektion,Virale Oralinfektion,True,True,True,100.0,True,True,100.0,True,10077627,10065234,10077627,10065234
Hyperalbuminaemie,Hyperalbuminaemia,Hyperalbuminaemia,Hyperalbuminaemie,Hyperalbuminaemie,True,True,True,100.0,True,True,100.0,True,10058819,10058819,10058819,10058819
hyperkalemia,Hyperkalemia,Hyperkalemia,Hyperkaliaemie,Hyperkaliaemie,True,True,True,100.0,True,True,100.0,True,10020647,10020646,10020647,10020646
hypertenion,Hypertension,Hypertension,Hypertonie,Hypertonie,True,True,True,100.0,True,True,100.0,True,10020772,10020772,10020772,10020772
Hypertension,Hypertension,Hypertension,Hypertonie,Hypertonie,True,True,True,100.0,True,True,100.0,True,10020772,10020772,10020772,10020772
hypertension,Hypertension,Hypertension NOS,Hypertonie,Hypertonie,False,True,False,85.71428571428572,False,True,100.0,True,10020772,10020772,10020782,10020772
hyperviscosity syndrom,Hyperviscosity syndrome,Hyperviscosity syndrome,Hyperviskositaetssyndrom,Hyperviskositaetssyndrom,True,True,True,100.0,True,True,100.0,True,10051151,10051151,10051151,10051151
Hypocalcemia,Hypocalcemia,Hypocalcemia,,,True,True,True,100.0,True,False,0.0,False,10020949,10020947,10020949,10020947
hypocalemia,Hypocalcaemia,Hypocalcemia,,,False,True,False,96.0,True,False,0.0,False,10020947,10020947,10020949,10020947
Hypocalemia,Hypercalcaemia,Hypocalcemia,Hyperkalzaemie,,False,False,False,84.61538461538461,False,False,0.0,False,10020583,10020583,10020949,10020947
hypokalaemia,Hypokalaemia,Hypokalaemia,Hypokaliaemie,Hypokaliaemie,True,True,True,100.0,True,True,100.0,True,10021015,10021015,10021015,10021015
hypokalemia,Hypokalemia,Hypokalemia,Hypokaliaemie,Hypokaliaemie,True,True,True,100.0,True,True,100.0,True,10021018,10021015,10021018,10021015
Hypokalemia,Hypokalemia,Hypokalemia,Hypokaliaemie,Hypokaliaemie,True,True,True,100.0,True,True,100.0,True,10021018,10021015,10021018,10021015
hypokalemia intermittend,Hypokalemia,Hypokalemia,Hypokaliaemie,Hypokaliaemie,True,True,True,100.0,True,True,100.0,True,10021018,10021015,10021018,10021015
hypokaliemia,Hypokalemia,Hypokalaemia,Hypokaliaemie,Hypokaliaemie,False,True,False,95.65217391304348,True,True,100.0,True,10021018,10021015,10021015,10021015
hyponatremia,Hyponatremia,Hyponatremia,Hyponatriaemie,Hyponatriaemie,True,True,True,100.0,True,True,100.0,True,10021038,10021036,10021038,10021036
